电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
139,快乐的结局,"Vladimír Mensík,Jaroslava Obermaierová,约瑟夫·阿布汉姆",1968-06-10,喜剧,8.6,1973,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192276510.webp
140,猫和老鼠：魔法戒指,,2002-03-12,"喜剧,动画",8.6,1903,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508702841.webp
141,命运的捉弄,"安德烈·米亚赫科夫,芭芭拉·布雷尔斯卡,尤里·雅科夫列夫",1975-12-31,"爱情,喜剧",8.6,1739,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513481176.webp
142,谁在那儿歌唱？,"Pavle Vujisic,德拉甘·尼柯立克,达尼罗 -巴塔-斯托科维奇,亚力克斯桑德·贝奇科",1980-01-01,喜剧,8.6,1029,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1663037620.webp
143,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,朱莉·安德鲁斯,威尔·阿奈特,克里斯汀·韦格,米兰达·卡斯格拉夫,达纳·盖尔,艾尔西·费舍尔,皮埃尔·柯芬,克里斯·雷纳德,杰梅奈·克莱门特,杰克·麦克布瑞尔,丹尼·麦克布莱德,敏迪·卡灵,罗布·许贝尔,肯·道里欧,郑肯",2010-06-20,"喜剧,动画,冒险",8.5,402760,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.webp
144,喜剧之王,"周星驰,张柏芝,莫文蔚,吴孟达,林子善,田启文,李兆基,成龙,李思捷,郑文辉",1999-02-13,"喜剧,剧情,爱情",8.5,338750,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.webp
145,真爱至上,"休·格兰特,科林·费尔斯,艾玛·汤普森,凯拉·奈特莉,连姆·尼森,托马斯·布罗迪-桑斯特,比尔·奈伊,马丁·弗瑞曼,劳拉·琳妮,艾伦·瑞克曼,克里斯·马歇尔,罗德里戈·桑托罗,罗温·艾金森,比利·鲍伯·松顿,玛汀·麦古基安,安德鲁·林肯,露西娅·莫尼斯,海克·玛卡琪",2003-09-07,"喜剧,剧情,爱情",8.5,330920,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.webp
146,再次出发之纽约遇见你,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文,詹姆斯·柯登,海莉·斯坦菲尔德,凯瑟琳·基纳,茅斯·达夫,罗伯·莫洛,伊恩·布罗茨基,香农·沃尔什,大卫·埃伯利斯,马科·阿桑特,玛丽·凯瑟琳·歌瑞森,詹·雅各布,席洛·格林,詹妮弗·李·杰克逊,特里·刘易斯,吉米·帕伦博,西蒙·德兰尼,丹妮尔·布里瑟布瓦,基恩·鲁弗洛,尼古拉斯·丹尼尔·冈萨雷斯,麦迪·科尔曼,阿雅·卡什,大卫·彭德尔顿,保罗·罗梅罗,安德鲁·塞伦,凯伦·皮特曼,罗恩·沃斯",2015-06-26,"喜剧,爱情,音乐",8.5,177933,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.webp
147,开心家族,"车太贤,高昌锡,张荣男,姜艺媛,千宝根,李文秀",2011-11-29,"剧情,喜剧,家庭",8.5,133143,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p892692364.webp
148,遗愿清单,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯,贝弗利·陶德,罗伯·莫洛,阿方索·弗里曼,韦尔达·布里奇斯,伊恩·安东尼·代尔,诺尔·古格雷米",2007-12-25,"冒险,喜剧,剧情",8.5,133057,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.webp
149,麦兜故事,"李晋纬,林海峰,吴君如,黄秋生,Buxx Banner",2001-12-15,"剧情,喜剧,动画",8.5,131053,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804938713.webp
150,偷拐抢骗,"布拉德·皮特,本尼西奥·德尔·托罗,杰森·斯坦森,丹尼斯·法里纳,维尼·琼斯,拉德·舍博德兹加,阿兰·福德,连尼·詹姆斯,艾文·布莱纳,杰森·弗莱明,斯蒂芬·格拉汉姆",2000-09-01,"喜剧,犯罪",8.5,117854,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p616753227.webp
151,哪啊哪啊神去村,"染谷将太,长泽雅美,伊藤英明,西田尚美,槙田雄司,优香,近藤芳正,光石研,柄本明",2014-05-10,"剧情,喜剧",8.5,91653,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2214469584.webp
152,回到未来,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,克里斯平·格洛弗,托马斯·F·威尔森,克劳迪娅·韦尔斯,马克·麦克卢尔,温迪·乔·斯佩博,乔治·第桑佐,弗兰西斯·李·麦克凯恩,詹姆斯·托根,J·J·科恩,凯西·希玛兹科,比利·赞恩,小哈利·沃特斯,唐纳德·富利洛夫,丽萨·弗里曼,克里斯滕·考夫曼",1985-07-03,"喜剧,科幻,冒险",8.5,75562,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475872903.webp
153,茜茜公主,"罗密·施奈德,卡尔海因茨·伯姆,玛格达·施奈德,乌塔·弗朗茨,古斯塔夫·克努特",1955-12-22,"喜剧,剧情,历史,爱情",8.5,73541,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2160427238.webp
154,土拨鼠之日,"比尔·默瑞,安迪·麦克道威尔,克里斯·艾略特,斯蒂芬·托布罗斯基,布赖恩·道尔,瑞克·欧弗顿,威利·加森,安吉拉·佩顿,里克·杜科蒙,罗宾·杜克,肯·哈德森·坎贝尔,莱斯·波德威尔",1993-02-12,"剧情,喜剧,爱情,奇幻",8.5,72358,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2493191199.webp
155,机器管家,"罗宾·威廉姆斯,艾伯丝·戴维兹,山姆·尼尔,奥利弗·普莱特,绮尔斯腾·瓦伦,温迪·古逊,海莉·凯特·爱森伯格,林兹·利瑟曼,安吉拉·兰迪斯,约翰·迈克尔·辛吉斯,布莱德利·惠特福德,伊戈尔·希勒,乔·贝兰,布雷特·瓦格纳,斯蒂芬·鲁特,斯科特·沃,奎因·史密斯,克里斯蒂·科内利,杰·约翰斯顿,乔治·华莱士,林恩·瑟格本,普雷斯·格里芬,玛西娅·皮佐,宝拉·迪普雷·佩斯门,克拉克·德弗洛",1999-12-13,"剧情,喜剧,科幻",8.5,49842,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195410751.webp
156,安妮·霍尔,"伍迪·艾伦,黛安·基顿,谢莉·杜瓦尔,保罗·西蒙,卡洛·凯恩,克里斯托弗·沃肯,西格妮·韦弗",1977-04-20,"喜剧,剧情,爱情",8.5,47630,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p619900470.webp
157,交响情人梦 最终乐章 前篇,"上野树里,玉木宏,瑛太,水川麻美,小出惠介,温兹瑛士,贝基,山田优,谷原章介,福士诚治,吉濑美智子,伊武雅刀,竹中直人",2009-12-19,"喜剧,剧情,音乐",8.5,28699,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p575387624.webp
158,南方公园,"崔·帕克,马特·斯通,玛丽·凯·伯格曼,艾萨克·海耶斯,乔治·克鲁尼,明妮·德里弗",1999-06-30,"动画,喜剧,歌舞",8.5,28295,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1852116626.webp
159,出水芙蓉,"雷德·斯克尔顿,埃丝特·威廉斯,巴兹尔·拉思伯恩,比尔·戈德温,简·波特,娜娜·布莱恩特,卡洛斯·拉米雷斯,艾特尔·史密斯,丽娜·罗迈,海伦·弗雷斯特,唐纳德·米克,杰奎琳·达利娅,弗朗西斯·皮埃洛,安·科迪,玛格丽特·杜蒙,邦尼·瓦特斯,简妮丝·佩吉,哈维尔·库加特,哈里·詹姆斯,阿比盖尔·亚当斯,多萝西·亚当斯,简·伊丝贝尔",1944-06-27,"喜剧,歌舞",8.5,24496,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497889942.webp
160,水牛城66,"文森特·加洛,克里斯蒂娜·里奇,本·戈扎那,米基·洛克,罗姗娜·阿奎特,冉-迈克尔·文森特,安杰丽卡·休斯顿,凯文·波拉克",1998-06-26,"喜剧,犯罪,剧情,爱情",8.5,24004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453576673.webp
161,麻将,"柯宇纶,张震,林海象,唐从圣,维吉妮·拉朵嫣,金燕玲,王启赞,吴念真,尼克·埃里克森,柯一正,王柏森,张国柱,吴家丽",1996-12-07,"喜剧,剧情",8.5,21745,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327303475.webp
162,朝圣之路,"马丁·辛,艾米利奥·艾斯特维兹,黛博拉·卡拉·安格,约里克·范·韦杰宁根,詹姆斯·内斯比特,斯宾塞·加雷特,切基·卡尤",2010-11-19,"剧情,喜剧,冒险",8.5,20032,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p740305253.webp
163,邦尼和琼,"约翰尼·德普,玛丽·斯图尔特·马斯特森,艾丹·奎因,朱丽安·摩尔,威廉姆·H·梅西",1993-04-16,"喜剧,剧情,爱情",8.5,15686,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511366698.webp
164,海绵宝宝历险记,"汤姆·肯尼,克兰西·布朗,罗德格尔·邦帕斯,比尔·法格巴克,Mr. Lawrence,吉尔·塔利,卡罗琳·劳伦斯,Mary Jo Catlett,杰弗里·塔伯,斯嘉丽·约翰逊,亚历克·鲍德温,大卫·哈塞尔霍夫,克里斯托弗洛根,D.P. FitzGerald,Cole S. McKay",2004-11-19,"喜剧,动画,冒险",8.5,14698,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p476254131.webp
165,二手狮王,"迈克尔·凯恩,罗伯特·杜瓦尔,海利·乔·奥斯蒙,凯拉·塞吉维克,艾里克·巴弗尔,乔什·卢卡斯",2003-09-19,"喜剧,剧情,家庭",8.5,12577,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1626609748.webp
166,转转,"小田切让,三浦友和,小泉今日子,吉高由里子,岩松了,松重丰,岸部一德,麻生久美子",2007-11-10,喜剧,8.5,12418,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1111394339.webp
167,马路天使,"周璇,赵丹,魏鹤龄,钱千里",1937,"剧情,喜剧",8.5,12017,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194956092.webp
168,狗脸的岁月,"安东·格兰泽柳斯,托马斯·冯·布罗姆森,安琪·丽登,梅琳达·金纳曼,基克基·伦德格伦,伦纳特·胡尔斯特罗姆,英格玛丽·卡尔松,莱夫·埃里克松,克里斯蒂娜·卡尔温德,拉夫·卡尔松,维韦卡·达伦,阿诺尔德·阿尔弗雷德松,Fritz Elofsson,Didrik Gustafsson,扬-菲利普·霍尔斯特伦",1985-12-12,"剧情,喜剧",8.5,11505,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910923348.webp
169,钢铁巨人,"艾力·马伦斯奥,范·迪塞尔,小哈里·康尼克,詹妮弗·安妮斯顿,克里斯托弗·麦克唐纳,詹姆斯·盖蒙,克萝丽丝·利奇曼,约翰·马奥尼,M·埃梅特·沃尔什,鲍伯·伯根,奥利·约翰斯顿,法兰克·汤玛斯",1999-08-06,"喜剧,科幻,动画,冒险",8.5,10809,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453506001.webp
170,少爷,"二宫和也,松下奈绪,古田新太,八岛智人,山本耕史,及川光博,岸部一德,宫本信子,又吉直树,鹫尾真知子,佐藤浩市,浅野优子,小林薰",2016-01-03,"剧情,喜剧",8.5,10684,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2302502360.webp
171,黑猫白猫,"斯尔詹·托多罗维奇,布兰卡·卡蒂奇,巴伊拉姆·瑟瓦丹,弗洛里安·艾登,鲁比卡·艾德维奇,扎比特·梅梅托夫,萨布·苏莱曼尼,Jasar Destani,普雷德拉格·拉科维奇,米基·马诺伊洛维奇",1998-09-10,"喜剧,音乐,爱情",8.5,9922,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2176669838.webp
172,莫斯科不相信眼泪,"薇拉·阿莲托娃,阿列克谢·巴塔洛夫,伊琳娜·穆拉维耶娃,罗莎·梁赞诺娃",1980-02-11,"喜剧,剧情,爱情",8.5,8952,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1024160518.webp
173,午夜狂奔,"罗伯特·德尼罗,查尔斯·格罗丁,亚非特·科托",1988-07-20,"动作,冒险,喜剧,犯罪,惊悚",8.5,8532,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1483943303.webp
174,流星语,"张国荣,叶靖岚,狄龙,吴家丽,琦琦,李蕙敏,白嘉倩,林家栋,沈傲君,邓一君,黄家诺",1999-10-14,"喜剧,剧情",8.5,7800,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p939431341.webp
175,解构爱情狂,"伍迪·艾伦,罗宾·威廉姆斯,黛米·摩尔,托比·马奎尔,柯尔斯蒂·艾利,比利·克里斯托,伊丽莎白·苏,玛瑞儿·海明威",1997-12-12,"喜剧,剧情,奇幻,爱情",8.5,7609,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099964935.webp
176,心灵点滴,"罗宾·威廉姆斯,丹尼尔·伦敦,莫妮卡·波特,菲利普·塞默·霍夫曼,鲍勃·冈顿,约瑟夫·索默,艾尔玛·霍尔,弗兰西斯·李·麦克凯恩,哈威·普雷斯内尔,达尼爱拉·库恩,彼德·考约特,詹姆斯·格林,迈克尔·杰特,海尔德·高德",1998-12-25,"剧情,喜剧,传记",8.5,7142,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p735865077.webp
177,油炸绿番茄,"凯西·贝茨,杰西卡·坦迪,玛丽·露易斯·帕克,玛丽·斯图尔特·马斯特森",1991-12-27,"剧情,喜剧",8.5,3947,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1452662468.webp
178,热带鱼,"林嘉宏,文英,林正盛,连碧东,席敬伦,黄美文,陈金财,郎祖筠,阿匹婆,陈慕义,林照雄,赵正平",1995-08-01,"喜剧,剧情",8.5,3921,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1148607609.webp
179,盗信情缘,"堤真一,远山景织子,堀部圭亮,大杉涟,平泉成",1997-08-16,"犯罪,剧情,动作,喜剧",8.5,3728,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453460950.webp
180,谁来为我摘月亮,"莫里兹·布雷多,丘利潘·哈马托娃,梅拉布·尼尼泽,迪马克梅·阿基莫夫",1999-09-08,"喜剧,剧情",8.5,3235,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p459930268.webp
181,一夜狂欢,"约翰·列侬,保罗·麦卡特尼,乔治·哈里逊,林哥·斯塔尔",1964-07-06,"喜剧,音乐",8.5,2814,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176608211.webp
182,极乐同盟,"Petr Meissel,Gabriela Wilhelmová,Barbora Hrzánová",1996,"动画,喜剧",8.5,2698,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1007772754.webp
183,你逃我也逃,"梅尔·布鲁克斯,安妮·班克罗夫特,提姆·麦锡森,查尔斯·德恩,克里斯托弗·洛伊德",1983-12-16,"剧情,战争,喜剧",8.5,2681,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1482501815.webp
184,战地军魂,"威廉·霍尔登,唐·泰勒,奥托·普雷明格,罗伯特·斯特劳斯,哈维·莱姆贝克",1953-05-29,"剧情,喜剧,战争",8.5,2605,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2205714500.webp
185,君臣人子小命呜呼,"蒂姆·罗斯,加里·奥德曼,理查德·德莱弗斯",1990-09-12,"喜剧,剧情",8.5,2596,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1020454375.webp
186,浪荡儿,"弗朗科·英特朗吉,阿尔贝托·索尔迪,佛朗哥·法布里齐,莱奥波多·特里耶斯泰,Riccardo Fellini,莉奥诺拉·罗芙,Jean Brochard,Claude Farell",1953-08-26,"喜剧,剧情",8.5,2494,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2204692623.webp
187,稻草人,"卓勝利,张柏舟,吴炳南,文英,杨贵媚,柯俊雄,林美照",1987-10-23,"喜剧,历史,战争",8.5,2383,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461104465.webp
188,高山上的世界杯,"Orgyen Tobgyal,Neten Chokling,Jamyang Lodro",2000-04-21,"喜剧,运动",8.5,2014,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1066348962.webp
189,史楚锡流浪记,"布鲁诺·斯列斯坦,埃娃·马特斯,Clemens Scheitz",1977-01-12,"剧情,喜剧",8.5,1829,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1661865334.webp
190,三笑,"陈思思,向群,文逸民,龚秋霞",1964-03-21,喜剧,8.5,1593,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2345607696.webp
191,待客之道,"巴斯特·基顿,乔·罗伯茨,Monte Collins,Buster Keaton Jr.,乔·基顿",1923-11-19,"喜剧,家庭",8.5,1475,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497704424.webp
192,初恋,"郑允浩,朴有天,全慧彬,张英兰",2005-10-09,"喜剧,爱情",8.5,1241,https://img3.doubanio.com/view/subject/l/public/s6808094.jpg
193,工作,"Loredana Detto,Sandro Panseri,Mara Revel,图利奥·凯齐赫",1962-10-15,"喜剧,剧情",8.5,1051,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504842610.webp
194,王牌特工：特工学院,"塔伦·埃格顿,科林·费尔斯,塞缪尔·杰克逊,迈克尔·凯恩,马克·斯特朗,索菲·库克森,索菲亚·波多拉,马克·哈米尔,杰克·达文波特,萨曼塔·沃马克,汉娜·奥斯特罗姆,约诺·戴维斯,亚历克斯·尼科洛夫,维利贝·托皮奇,杰夫·贝尔,艾德里安·奎因顿,乔丹·朗,西奥·巴克利姆比格斯,摩根·华金斯,拉尔夫·尹爱森,爱德华·霍尔克罗夫特,尼古拉斯·班克斯",2015-03-27,"喜剧,动作,冒险",8.4,359807,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2231932406.webp
195,唐伯虎点秋香,"周星驰,巩俐,陈百祥,郑佩佩,朱咪咪,梁家仁,苑琼丹,梁荣忠,黄一山,黄霑,吴镇宇,刘家辉,蓝洁瑛,谷德昭,陈辉虹,李健仁,宣萱,温翠萍",1993-07-01,"喜剧,爱情,古装",8.4,349040,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.webp
196,驴得水,"任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,查尔斯·亚瑟,王峰",2016-10-28,"剧情,喜剧",8.4,338718,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.webp
197,冰川时代,"雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克",2002-03-15,"喜剧,动画,冒险",8.4,284136,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.webp
198,我的个神啊,"阿米尔·汗,安努舒卡·莎玛,桑杰·达特,博曼·伊拉尼,沙鲁巴·舒克拉,苏尚特·辛格·拉吉普特,帕里卡沙特.萨赫尼,阿马尔迪普·杰哈,瑞玛·德纳斯,迪伦德拉·德维韦迪,赛·甘德沃尔,拉姆·P·塞蒂",2015-05-22,"喜剧,奇幻",8.4,187876,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2243803873.webp
199,了不起的狐狸爸爸,"乔治·克鲁尼,梅丽尔·斯特里普,詹森·舒瓦兹曼,埃里克·蔡斯·安德森,比尔·默瑞,华莱士·沃洛达斯基,迈克尔·刚本,威廉·达福,欧文·威尔逊,贾维斯·考科尔,韦斯·安德森,凯伦·达菲,罗宾·赫尔斯通,雨果·吉尼斯,海伦·麦克洛瑞,罗曼·科波拉,尤玛·马努夫,杰瑞米·道森,加斯·詹宁斯,布莱恩·考克斯,特里斯坦·奥利弗,詹姆斯·哈密尔顿,史蒂文·M·拉尔斯,罗伯·赫尔索夫,珍妮弗·弗切斯,艾莉森·阿巴特,茉莉·库珀,艾德里安·布洛迪,马利欧·巴塔利,马丁·巴拉德",2009-10-14,"喜剧,动画,冒险",8.4,113612,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174698025.webp
200,麦兜·当当伴我心,"黄秋生,吴君如,胡歌,郑中基,许飞",2012-07-10,"喜剧,动画",8.4,78543,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454027095.webp
201,盗钥匙的方法,"堺雅人,香川照之,广末凉子,荒川良良,森口瑶子",2012-06-17,"剧情,喜剧",8.4,77860,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1979399699.webp
202,艺术家,"让·杜雅尔丹,贝热尼丝·贝乔,约翰·古德曼,詹姆斯·克伦威尔,比茜·图诺克,佩内洛普·安·米勒,马尔科姆·麦克道威尔,小狗乌吉 ",2012-12-28,"剧情,喜剧,爱情",8.4,76692,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1341284796.webp
203,辛普森一家,"丹·卡斯泰兰尼塔,朱莉·卡夫娜,南茜·卡特莱特,雅德丽·史密斯,汉克·阿扎利亚,哈里·谢尔,潘蜜拉·海登,特蕾丝·麦克尼尔,艾伯特·布鲁克斯,卡尔·维耶德戈特,玛西娅·华莱士,露西·泰勒,麦琪·罗丝威尔,Philip Rosenthal,比利·乔·阿姆斯特朗,特雷·库尔,迈克·德特,乔·曼特纳,汤姆·汉克斯",2007-07-27,"动画,冒险,喜剧",8.4,63343,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1947152148.webp
204,小羊肖恩,"贾斯汀·弗莱彻,约翰·斯帕克斯,欧米德·吉亚李利,理查德·韦伯,凯特·哈伯,安迪·尼曼,西蒙·格林诺,艾玛·泰特,蒂姆·汉兹,杰克·保尔森,西恩·康诺利,亨利·伯顿,迪曼特·维瓦斯,苏菲·劳顿,妮娅·梅迪·詹姆斯,斯坦利·昂温",2015-07-17,"喜剧,动画,冒险",8.4,58155,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249261202.webp
205,百变狸猫,"古今亭志ん朝,三木纪平,清川虹子,野野村真,石田百合子,泉谷茂,芦屋雁之助,村田雄浩",1994-07-16,"动画,喜剧,剧情,奇幻",8.4,57784,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2156875496.webp
206,蓝白红三部曲之白,"泽比纽·扎马洲斯基,朱莉·德尔佩,扬努斯·加约斯,杰基·斯图尔,亚历山大·巴尔迪尼,格热戈日·瓦寇,采扎里·哈拉西摩威奇,杰兹·诺瓦克,杰吉·特雷拉,采扎里·帕祖拉,菲利普·莫里尔-热努,比奥迪·玛查里卡,弗朗西斯·科菲内,芭芭拉·杰坎,马尔泽娜·泰巴拉,特蕾莎·布齐什-克日扎诺夫斯卡,朱丽叶·比诺什",1994-01-26,"喜剧,剧情,悬疑,爱情",8.4,53699,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1604838524.webp
207,三毛从军记,"贾林,魏宗万,孙飞虎,朱艺,李颖",1992,"剧情,喜剧,战争",8.4,49844,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2252295029.webp
208,偶滴神啊,"阿克谢·库玛尔,帕莱什·拉瓦尔,米特胡恩·查克拉博蒂,欧姆·普瑞,康柯纳·森·沙尔玛,索娜什·辛哈 ,普拉部·地伐,马赫什·曼杰瑞卡,Govind Namdeo",2012-09-28,"剧情,喜剧",8.4,42814,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1792520018.webp
209,杰出公民,"奥斯卡·马丁内兹,达迪·布列瓦,安德丽娅·弗里杰里奥,诺拉·纳瓦斯,曼努埃尔·维森特,马塞洛·丹德烈亚,贝伦·沙瓦纳,古斯塔沃·加尔松,朱利安·拉基尔·泰拉里尼,艾玛·里维拉,尼古拉斯·德·特蕾西,丹尼尔·卡尔吉曼,亚历克西斯·洛佩兹·科斯塔,莱昂纳多·穆里亚,佩德罗·罗斯",2016-09-04,"剧情,喜剧",8.4,41472,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2441383861.webp
