电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
210,五个扑水的少年,"妻夫木聪,玉木宏,三浦哲郁,近藤公园,金子贵俊,平山绫,真锅香织,竹中直人,杉本哲太,谷启,柄本明,德井优,川村贵志,松永大司,西川祐也,山崎胜之,杉浦太阳,田中幸太朗,内田春菊,蛭子能收,角替和枝,铃木砂羽,近藤芳正,西田尚美,山下真司,田中要次,本田大辅,森山荣治,上野未来",2001-09-15,"喜剧,运动",8.4,32986,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958191439.webp
211,亚当斯一家,"安杰丽卡·休斯顿,劳尔·胡里亚,克里斯托弗·洛伊德,克里斯蒂娜·里奇,丹娜·爱薇,卡雷尔·斯特鲁基,丹·哈达亚",1991-11-22,"喜剧,家庭,奇幻",8.4,24514,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1219939183.webp
212,弗兰西丝·哈,"格蕾塔·葛韦格,米奇·萨姆纳,迈克尔·埃斯佩尔,亚当·德赖弗,迈克尔·泽根,Charlotte d'Amboise,格蕾丝·古默,贾斯汀·卢佩",2012-09-01,"剧情,喜剧",8.4,21984,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1927054388.webp
213,家族之苦2,"桥爪功,吉行和子,西村雅彦,夏川结衣,中岛朋子,林家正蔵,妻夫木聪,苍井优,小林稔侍,风吹淳,中村鹰之资,丸山步梦,有园芳记,藤山扇治郎,徳永雄辉,剧团一人,笑福亭鹤瓶,广冈由里子,北山雅康,近藤公园",2017-02-10,"喜剧,家庭",8.4,14417,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2458687725.webp
214,契克,"特里斯坦·格贝尔,阿南德·巴特比勒格,阿妮娅·文德尔,尤斯蒂娜·洪普夫,保罗·布舍,杰罗姆·赫汤蒙,麦克斯·克鲁格,乌多·萨梅尔,安雅·施耐德,纳丁·杜布瓦,亨宁·佩克,乌韦·博姆,卡特琳娜·珀罗简,萨米·苏瑞泽尔,尤利乌斯·费尔斯伯格,海伦娜·西格蒙德-舒尔茨,克劳迪亚·盖斯勒-巴丁,马克·霍泽曼,尼科尔·默西迪丝·穆勒,亚历山大·吉尔,弗雷德里克·坎普特,凯·伊沃·保利兹",2016-09-15,"剧情,喜剧",8.4,14417,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2369390663.webp
215,樱桃小丸子 真人版1,"森迫永依,福田麻由子,高桥克实,美山加恋,元冬树,清水美智子,马宫辉",2006-04-18,喜剧,8.4,9030,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509125890.webp
216,小公主,"秀兰·邓波儿,理查德·格林,安妮塔·露易丝,Ian Hunter,恺撒·罗摩洛",1939-03-10,"喜剧,剧情,家庭,歌舞",8.4,8866,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2170114015.webp
217,列宁格勒牛仔征美记,"马蒂·佩龙帕,吉姆·贾木许,卡里·瓦纳宁,Sakke Järvenpää,萨卡里·库斯曼嫩,Silu Seppälä,Mato Valtonen,奥利·图奥米宁,理查德·伯斯",1989-03-24,"喜剧,音乐",8.4,6344,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1652557747.webp
218,第八日,"丹尼尔·奥特伊,帕斯卡·杜奎奈,缪缪",1996-05-22,"喜剧,剧情",8.4,6192,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1184771401.webp
219,我的舅舅,"雅克·塔蒂,让·皮埃尔·佐拉,Adrienne Servantie",1958-05-10,喜剧,8.4,4915,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p685838678.webp
220,游戏规则,"诺拉·格雷戈尔,波莱特·杜博斯特,米拉·帕雷利,奥黛特·塔拉扎克,马塞尔·达里奥",1939-07-08,"喜剧,剧情",8.4,4873,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p863429327.webp
221,日以作夜,"杰奎琳·比塞特,瓦伦蒂娜·格特斯,达尼,让-皮埃尔·利奥德,弗朗索瓦·特吕弗,让-皮埃尔·奥蒙特",1973-05-24,"喜剧,剧情,爱情",8.4,4578,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2298440925.webp
222,蒲公英,"山崎努,宫本信子,役所广司,大泷秀治,渡边谦,津川雅彦,冈田茉莉子,井川比佐志,桥爪功,中村伸郎,藤田敏八,黑田福美",1985-11-23,喜剧,8.4,4472,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2390145496.webp
223,宝贝小情人,"安娜·克鲁姆斯基,麦考利·卡尔金,杰米·李·柯蒂斯",1991-11-27,"剧情,喜剧,爱情",8.4,4193,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1194943338.webp
224,给我一个爸,"兹旦内克·斯维拉克,安德列·查利蒙,利布谢·赛文卡娃,翁德雷·维特希,史黛拉·查娜克娃,拉吉斯拉夫·斯莫利亚克,伊琳娜·别兹鲁科夫,西尔维娅·苏瓦栁娃,莉利亚·马尔金,卡雷尔·黑勒曼克,佩特拉·斯贝尔克瓦,妮拉·布德芙,雷尼·普瑞比勒,米罗斯拉夫·塔博尔斯基,丝拉芙卡·布迪诺娃",1996-05-15,"剧情,喜剧,音乐",8.4,3968,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399528486.webp
225,五至七时的克莱奥,"科琳娜·马尔尚,Antoine Bourseiller,Dominique Davray,Dorothée Blanck,米歇尔·勒格朗,约瑟·路易斯·德·维拉龙卡,Loye Payen,Renée Duchateau,Lucienne Marchand,塞吉·科波尔,让-吕克·戈达尔,安娜·卡里娜",1962-04-11,"喜剧,剧情,音乐",8.4,3687,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2438827116.webp
226,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,"Stuart Whitman,Sarah Miles,James Fox,Alberto Sordi,Robert Morley",1965-06-03,"冒险,喜剧,动作",8.4,3623,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p700027492.webp
227,仁心与冠冕,"亚历克·吉尼斯,瓦莱莉娅·霍布森,丹尼斯·普莱斯",1949-06-21,"喜剧,犯罪",8.4,3142,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1112153309.webp
228,意大利式离婚,"马塞洛·马斯楚安尼,达尼埃拉·罗卡,斯特法尼娅·桑德雷利",1961-12-20,喜剧,8.4,2486,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2197945536.webp
229,影迷,"杰基·斯图尔,莫格莎塔·札柯夫斯卡,艾娃·珀卡斯,斯特凡·希泽斯基,杰兹·诺瓦克,塔德乌什·布拉德基,马雷克·莱特卡,博古斯拉夫·索伯祖克,克日什托夫·扎努西,安德烈·朱加",1979-11-16,"剧情,喜剧,爱情",8.4,2173,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167206904.webp
230,泯灭天使,"西尔维娅·皮纳尔,Enrique Rambal,克劳迪奥·布鲁克",1962-12-16,"喜剧,剧情,奇幻,悬疑",8.4,2090,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1691815236.webp
231,福禄双霸天,"约翰·贝鲁西,丹·艾克罗伊德,詹姆斯·布朗,凯比·卡洛威,雷·查尔斯,艾瑞莎·弗兰克林,史蒂夫·克罗帕,唐纳德邓恩,Murphy Dunne,威利霍尔,汤姆·马龙,洛乌·马里尼,马特·墨菲,艾伦·鲁宾,凯丽·费雪",1980-06-20,"喜剧,动作,犯罪,音乐",8.4,1847,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1690617156.webp
232,小叛逆,秀兰·邓波儿 (Shirley Temple),1935-11-22,"喜剧,剧情,家庭,战争",8.4,1712,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2170113566.webp
233,满城风雨,"杰克·莱蒙,沃尔特·马修,苏珊·萨兰登,文森特·加迪尼亚,大卫·韦恩,艾伦·加菲尔德,奥斯汀·潘德尔顿,查尔斯·德恩,赫布·埃德尔曼,马丁·加贝尔,海尔德·高德,克利夫·奥斯蒙德,迪克·奥尼尔,Jon Korkes,洛乌·弗里泽尔,卡罗尔·博内特",1974-12-17,"喜剧,剧情,爱情",8.4,1704,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2171856537.webp
234,七宗罪,"Danièle Barraud,让-皮埃尔·卡塞尔,达尼·萨瓦尔,乔治·威尔森,让·德赛利,埃迪·康斯坦丁,玛丽那·维拉迪,玛丽-若斯·纳特",1962-03-07,喜剧,8.4,1333,https://img3.doubanio.com/view/subject/l/public/s3308752.jpg
235,去往蒙巴萨的单程票,"Antti Tarvainen,Joonas Saartamo,Johanna Rönnlöf",2003-11-16,"喜剧,剧情",8.4,1329,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p978570164.webp
236,吝啬鬼,"Louis de Funès,Frank David,Hervé Bellon",1980-03-05,喜剧,8.4,1231,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1621388430.webp
237,一路上有你,"Ian Michael Smith,约瑟夫·梅泽罗,艾什莉·贾德,奥利弗·普莱特,大卫·斯特雷泽恩,丹娜·爱薇",1998-09-11,"喜剧,剧情",8.4,1217,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2219604523.webp
238,我的家人和其他动物,"尤金·西蒙,马修·古迪,拉塞尔·托维,塔姆金·莫钦特,欧米德·吉亚李利,艾美达·斯丹顿,Chris Langham",2005-12-27,"剧情,喜剧",8.4,1143,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514146695.webp
239,忍者小英雄,"黄自强,迈克尔·特雷纳,麦克斯·艾略特·斯莱德,Chad Power",1992-08-07,"喜剧,动作,运动",8.4,1075,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1845500552.webp
240,欢愉,"克洛德·多芬,加比·莫尔莱,马德莱娜·雷诺,吉内特·勒克莱尔,达尼埃尔·达里约",1952-02-29,"喜剧,剧情",8.4,1067,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2400044253.webp
241,猫和老鼠：火星之旅,"杰夫·贝内特,科里·伯顿,凯瑟琳·费奥雷",2005-05-10,"喜剧,动画",8.4,1008,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2240125090.webp
242,初恋这件小事,"平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,雅尼卡·桑普蕾舞,诺特·阿查拉那·阿瑞亚卫考,皮拉瓦特·赫拉巴特,普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭",2012-06-05,"剧情,喜剧,爱情",8.3,477368,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.webp
243,疯狂的石头,"郭涛,刘桦,连晋,黄渤,徐峥,优恵,罗兰 ,王迅",2006-06-30,"喜剧,犯罪",8.3,326012,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.webp
244,冰雪奇缘,"克里斯汀·贝尔,伊迪娜·门泽尔,乔纳森·格罗夫,乔什·加德,圣蒂诺·方塔纳,艾伦·图代克,塞伦·希德,克里斯·威廉姆斯,斯蒂芬·安德森,玛雅·威尔逊,伊迪·迈克莱尔,罗伯特·派恩,莫里斯·拉马奇,珍妮弗·李,莉薇·施图本劳赫,伊娃·贝拉,斯宾塞·莱西·加纳斯,泰里·布朗,杰西·科尔蒂,杰夫·马库斯,塔克·吉莫尔,保罗·布里格斯",2014-02-05,"喜剧,动画,奇幻,歌舞",8.3,317474,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166640945.webp
245,里约大冒险,"杰西·艾森伯格,安妮·海瑟薇,乔治·洛佩兹,罗德里戈·桑托罗,凯特·德尔·卡斯蒂洛,卡洛斯·庞丝,伯纳多·德·保拉",2011-04-08,"喜剧,动画,冒险",8.3,224482,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170811687.webp
246,钢的琴,"王千源,秦海璐,张申英,刘谦,罗二羊,国永振,周逵,田雨,张亚希,项燕,许江宁,张惠志,刘星禹,王早来,王玥",2011-07-15,"剧情,喜剧",8.3,181222,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511447359.webp
247,白日梦想家,"本·斯蒂勒,克里斯汀·韦格,亚当·斯科特,雪莉·麦克雷恩,西恩·潘,凯瑟琳·哈恩,泰伦斯·伯尼·海恩斯 ,保罗·菲兹杰拉德,格蕾丝·雷克斯,乔恩·戴利,乔伊·斯洛特尼克",2013-12-25,"剧情,喜剧,冒险",8.3,156139,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.webp
248,甲方乙方,"葛优,刘蓓,何冰,冯小刚,英达,徐帆,杨立新,李琦,傅彪,李滨,叶京,刘震云,王小柱,张秋芳,孟赫,马永玲,孙桂田,李伟健",1997-12-24,喜剧,8.3,146652,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2436823425.webp
249,奇怪的她,"沈恩京,罗文姬,朴仁焕,李阵郁,郑真英,成东日,金秀贤",2014-01-22,"喜剧,奇幻",8.3,124070,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2162863558.webp
250,巴黎，我爱你,"朱丽叶·比诺什,威廉·达福,娜塔莉·波特曼,加斯帕德·尤利尔,热拉尔·德帕迪约,玛吉·吉伦哈尔,伊利亚·伍德,欧嘉·柯瑞兰寇,亚历山大·佩恩,李昕,伊里斯·麦康利,莱拉·贝蒂,塞瑞尔·戴思科斯,布鲁诺·波达里德斯,史蒂夫·布西密",2006-05-18,"剧情,喜剧,爱情",8.3,121555,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1762258035.webp
251,天生一对,"琳赛·洛翰,丹尼斯·奎德,娜塔莎·理查德森,伊莲·亨德里克斯,丽萨·安·沃尔特,西蒙·坤茨,罗尼·斯蒂芬斯,玛姬·惠勒",1998-07-29,"剧情,儿童,喜剧,爱情,家庭",8.3,107516,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1933809793.webp
252,热血警探,"西蒙·佩吉,尼克·弗罗斯特,吉姆·布劳德本特,马丁·弗瑞曼,比尔·奈伊,比尔·贝利",2007-02-14,"喜剧,动作",8.3,91290,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449619623.webp
253,美女与野兽,"佩吉·奥哈拉,罗比·本森,理查德·怀特,杰里·奥尔巴赫,戴维·奥格登·施蒂尔斯,安吉拉·兰斯伯瑞,布莱德利·皮尔斯,雷克斯·埃弗哈特,杰西·科尔蒂,哈尔·史密斯,乔·安妮·沃利,玛丽·凯·伯格曼,布瑞恩·卡明斯,阿尔文·爱泼斯坦,托尼·杰,亚历克·墨菲,金米·罗伯特森,凯斯·索西,弗兰克·维尔克",1991-09-29,"喜剧,爱情,动画,歌舞,奇幻",8.3,77175,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2238467474.webp
254,金枝玉叶,"袁咏仪,张国荣,刘嘉玲,陈小春,曾志伟,罗家英,林晓峰,郑丹瑞",1994-07-23,"喜剧,爱情,同性",8.3,47789,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p939917921.webp
255,回到未来2,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,托马斯·F·威尔森,伊丽莎白·苏,詹姆斯·托根,杰弗里·韦斯曼,凯西·希玛兹科,比利·赞恩,J·J·科恩,查尔斯·弗莱舍,E. Casanova Evans,Jay Koch,Charles Gherardi,Ricky Dean Logan,Darlene Vogel,李截,弗利",1989-11-22,"喜剧,科幻,冒险",8.3,43662,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475857703.webp
256,海鸥食堂,"小林聪美,片桐入,罇真佐子,塔里娅·马库斯,马库·佩尔托拉",2006-03-11,"喜剧,剧情",8.3,42323,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p540502836.webp
257,麦兜我和我妈妈,"黄磊,吴君如,张正中,黄秋生,蔡明丽,蔡瀚亿,李云迪",2014-10-01,"喜剧,动画,家庭",8.3,41533,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200039289.webp
258,顽主,"张国立,葛优,梁天,潘虹,马晓晴,孙凤英,李耕,董钰刚,颜彼得,侯耀华,莫岐,常蓝天,李丽娜,李滨,王哲元,米丽新",1989-09-15,"剧情,喜剧",8.3,41526,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363497441.webp
259,回到未来3,"迈克尔·J·福克斯,克里斯托弗·洛伊德,玛丽·斯汀伯根,托马斯·F·威尔森,莉·汤普森,伊丽莎白·苏,马特·克拉克,理查德·戴萨特,Pat Buttram,小哈里·凯瑞,德博泰勒,詹姆斯·托根,马克·麦克卢尔,温迪·乔·斯佩博,杰弗里·韦斯曼,Hugh Gillin,弗利",1990-05-25,"喜剧,科幻,西部,冒险",8.3,37656,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475893249.webp
260,洗澡,"姜武,濮存昕,朱旭",2001-02-01,"剧情,喜剧,家庭",8.3,37639,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1246439749.webp
261,贝利叶一家,"露安·艾梅哈,嘉莲·维雅,弗朗索瓦·达密安,伊连·贝加拉,埃里克·埃尔莫斯尼诺,卢卡·戈尔贝格,罗珊妮·杜兰,玛尔·索度佩,斯代芬·沃杰托维茨,克莱芒丝·拉萨拉斯",2014-12-17,"剧情,喜剧,音乐,家庭",8.3,37159,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217443926.webp
262,一个字头的诞生,"刘青云,吴镇宇,李若彤,徐锦江,张达明,郑祖,宋本中,黄卓玲",1997-03-14,"动作,喜剧,犯罪",8.3,32091,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1929459409.webp
263,率性而活,"郑在咏,孙秉浩,李瀚伟,李英恩,高昌锡",2007-10-18,喜剧,8.3,25605,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p773565963.webp
264,普罗旺斯的夏天,"让·雷诺,安娜·加列娜,克洛伊·茹阿内,雨果·德休,奥雷·阿蒂卡,卢卡斯·派里策,让-米歇尔·诺里,于格·奥弗雷,夏洛特·德·特汉姆,拉法埃尔·阿贡吉,让-皮耶·罗利特",2014-04-02,"剧情,喜剧,家庭",8.3,24214,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176944875.webp
265,摇摆少女,"上野树里,平冈佑太,贯地谷诗穗梨,本仮屋唯佳,丰岛由佳梨,关根香菜,水田芙美子,明日香,中村知世,松田圆,阿部渚,辰巳奈都子,竹中直人,白石美帆,小日向文世,渡边绘里,樱睦子,谷启,德井优,田中要次,木野花,大仓孝二,菅原大吉,西田尚美,江口德子,真岛秀和,三上真史,福士诚治,高桥一生,佐藤二朗,森下能幸,宝井诚明,坂田聪,岩佐真悠子,森康子,林田麻里",2004-09-11,"剧情,喜剧,音乐",8.3,23970,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p638255684.webp
266,心房客,"迈克尔·皮特,伊莎贝尔·于佩尔,瓦莱丽亚·布鲁尼·泰德斯基,古斯塔弗·德·科文,朱尔·本谢特里",2015-10-07,"剧情,喜剧",8.3,22086,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2312758560.webp
267,魔幻时刻,"佐藤浩市,妻夫木聪,深津绘里,绫濑遥,西田敏行,小日向文世,寺岛进,香川照之,近藤芳正,山本耕史,市川昆,中井贵一,天海祐希,唐泽寿明,谷原章介,铃木京香,寺胁康文,堀部圭亮,伊吹吾郎",2008-06-07,喜剧,8.3,20404,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p637438422.webp
268,曼哈顿,"黛安·基顿,梅丽尔·斯特里普,伍迪·艾伦,迈克尔·墨菲,玛瑞儿·海明威",1979-04-25,"喜剧,剧情,爱情",8.3,19621,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1672087220.webp
269,骄傲,"本·施耐泽,乔治·麦凯,帕迪·康斯戴恩,艾美达·斯丹顿,比尔·奈伊,莫妮卡·杜兰,多米尼克·威斯特,安德鲁·斯科特,约瑟夫·吉尔根,费伊·马赛,弗莱迪·福克斯,乔舒亚·希尔,卡瑞娜·费尔南德斯,利兹·怀特,索菲亚·埃文斯,拉塞尔·托维",2014-05-23,"剧情,喜剧,历史,同性",8.3,17819,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2218469416.webp
270,印式英语,"希里黛玉,阿迪勒·侯赛因,梅迪·内博,普莱亚·阿南德,Sulabha Deshpande,Michael Patrick Hoban,Sujatha Kumar,Navika Kotia,Shivansh Kotia,Cory Hibbs,拉杰夫·拉宾德拉纳特安,Maria Romano,萨米特·维亚斯,Ruth Aguilar,罗斯·内森",2012-10-05,"剧情,喜剧,家庭",8.3,13346,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1829342305.webp
271,地球之夜,"吉娜·罗兰兹,薇诺娜·瑞德,阿明·缪勒-斯塔尔,罗西·培瑞兹,伊萨赫·德·班克尔,碧翠斯·黛尔,罗伯托·贝尼尼,保罗·博纳切利,马蒂·佩龙帕,吉安卡罗·埃斯波西托",1991-12-12,"喜剧,剧情",8.3,13173,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p957052935.webp
272,黑道快餐店,"埃德瓦·贝耶,安娜·穆格拉利斯,伯利·兰内尔,让·雷谢夫",2008-03-26,"喜剧,犯罪,剧情",8.3,11234,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183162713.webp
273,我曾侍候过英国国王,"伊万·博尔内夫,奥德里奇•凯瑟,尤莉亚·延奇,马丁·胡巴,伊斯特凡·萨博,约瑟夫·阿布汉姆",2006-12-19,"喜剧,剧情,爱情,战争",8.3,11005,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1538685577.webp
274,冥王星早餐,"基里安·墨菲,Morgan Jones,伊娃·柏西斯托,连姆·尼森,斯蒂芬·瑞,鲁斯·麦克卡比,查莲妮·麦肯纳,鲁丝·内伽,多米尼克·库珀",2005-09-03,"喜剧,剧情",8.3,10109,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p788528406.webp
275,红犬历险记,"乔什·卢卡斯,瑞切尔·泰勒,诺亚·泰勒,凯莎·卡斯特-休伊斯,卢克·福特,乔伊·巴彻勒,罗汉·尼克尔,亚瑟·安吉尔",2011-08-04,"剧情,喜剧",8.3,9668,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1741434502.webp
276,子弹横飞百老汇,"约翰·库萨克,黛安·韦斯特,詹妮弗·提莉,查兹·帕尔明特瑞,玛丽·露易斯·帕克",1994-09-06,"喜剧,犯罪",8.3,8597,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p946722193.webp
277,巴菲的奇妙命运,"佩丽冉卡·曹帕拉,兰比尔·卡普尔,伊利亚娜·狄克鲁兹,Haradhan Bannerjee,Sumona Chakravarti,Roopa Ganguly,Akash Khurana,Jishu Sengupta,沙鲁巴·舒克拉,阿希瑟·维德亚迪",2012-09-14,"剧情,喜剧,爱情",8.3,8245,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1806323895.webp
278,资产阶级的审慎魅力,"费尔南多·雷伊,保罗·弗朗克尔,德菲因·塞里格,比尔·奥吉埃,让-皮埃尔·卡塞尔",1972-09-15,"喜剧,剧情,奇幻",8.3,8013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1712426795.webp
279,愈爱愈美丽,"梅拉·沙尔,Martin Walsh,Steven M. Martin,Andrew Fraser,John Savage,斯考特·尼尔,格伦·贝里,Julie Smith,林达亨利,杰洛爱德华,Tameka Empson,Anna Karen,Garry Cooper,本·丹尼尔斯,Daniel Bowers",1996-06-21,"剧情,喜剧,爱情,同性",8.3,7893,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2456957300.webp
280,金玉盟,"加里·格兰特,黛博拉·蔻儿,理查德·邓宁",1957-07-11,"喜剧,剧情,爱情",8.3,6882,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848574092.webp
